date,Fed_monthly
2015-08-28 00:00:00,-19.04761905
2015-08-29 00:00:00,-11.76470588
2015-08-30 00:00:00,53.33333333
2015-08-31 00:00:00,4.347826087
2015-09-01 00:00:00,4.347826087
2015-09-02 00:00:00,-4.166666667
2015-09-03 00:00:00,-4.347826087
2015-09-04 00:00:00,-40.90909091
2015-09-05 00:00:00,0
2015-09-06 00:00:00,30.76923077
2015-09-07 00:00:00,29.41176471
2015-09-08 00:00:00,13.63636364
2015-09-09 00:00:00,-4
2015-09-10 00:00:00,-4.166666667
2015-09-11 00:00:00,-21.73913043
2015-09-12 00:00:00,-11.11111111
2015-09-13 00:00:00,81.25
2015-09-14 00:00:00,10.34482759
2015-09-15 00:00:00,40.625
2015-09-16 00:00:00,122.2222222
2015-09-17 00:00:00,-58
2015-09-18 00:00:00,-54.76190476
2015-09-19 00:00:00,-26.31578947
2015-09-20 00:00:00,64.28571429
2015-09-21 00:00:00,-4.347826087
2015-09-22 00:00:00,-9.090909091
2015-09-23 00:00:00,5
2015-09-24 00:00:00,9.523809524
2015-09-25 00:00:00,-34.7826087
2015-09-26 00:00:00,-6.666666667
2015-09-27 00:00:00,50
2015-09-28 00:00:00,0
2015-09-29 00:00:00,4.761904762
2015-09-30 00:00:00,3.448275862
2015-10-01 00:00:00,3.448275862
2015-10-02 00:00:00,-33.33333333
2015-10-03 00:00:00,-2.5
2015-10-04 00:00:00,53.84615385
2015-10-05 00:00:00,1.666666667
2015-10-06 00:00:00,-3.278688525
2015-10-07 00:00:00,11.86440678
2015-10-08 00:00:00,-10.60606061
2015-10-09 00:00:00,-33.89830508
2015-10-10 00:00:00,-10.25641026
2015-10-11 00:00:00,68.57142857
2015-10-12 00:00:00,5.084745763
2015-10-13 00:00:00,3.225806452
2015-10-14 00:00:00,3.125
2015-10-15 00:00:00,-12.12121212
2015-10-16 00:00:00,-36.20689655
2015-10-17 00:00:00,-8.108108108
2015-10-18 00:00:00,70.58823529
2015-10-19 00:00:00,10.34482759
2015-10-20 00:00:00,-14.0625
2015-10-21 00:00:00,3.636363636
2015-10-22 00:00:00,-1.754385965
2015-10-23 00:00:00,-33.92857143
2015-10-24 00:00:00,-10.81081081
2015-10-25 00:00:00,81.81818182
2015-10-26 00:00:00,11.66666667
2015-10-27 00:00:00,49.25373134
2015-10-28 00:00:00,-29
2015-10-29 00:00:00,-16.90140845
2015-10-30 00:00:00,-33.89830508
2015-10-31 00:00:00,100
2015-11-01 00:00:00,100
2015-11-02 00:00:00,-5
2015-11-03 00:00:00,0
2015-11-04 00:00:00,5.263157895
2015-11-05 00:00:00,5
2015-11-06 00:00:00,-42.85714286
2015-11-07 00:00:00,-8.333333333
2015-11-08 00:00:00,81.81818182
2015-11-09 00:00:00,0
2015-11-10 00:00:00,-5
2015-11-11 00:00:00,5.263157895
2015-11-12 00:00:00,0
2015-11-13 00:00:00,-20
2015-11-14 00:00:00,50
2015-11-15 00:00:00,-12.5
2015-11-16 00:00:00,0
2015-11-17 00:00:00,9.523809524
2015-11-18 00:00:00,-4.347826087
2015-11-19 00:00:00,-18.18181818
2015-11-20 00:00:00,-33.33333333
2015-11-21 00:00:00,0
2015-11-22 00:00:00,66.66666667
2015-11-23 00:00:00,0
2015-11-24 00:00:00,-10
2015-11-25 00:00:00,-44.44444444
2015-11-26 00:00:00,30
2015-11-27 00:00:00,-7.692307692
2015-11-28 00:00:00,-8.333333333
2015-11-29 00:00:00,90.90909091
2015-11-30 00:00:00,9.523809524
2015-12-01 00:00:00,9.523809524
2015-12-02 00:00:00,-4.347826087
2015-12-03 00:00:00,4.545454545
2015-12-04 00:00:00,-34.7826087
2015-12-05 00:00:00,-13.33333333
2015-12-06 00:00:00,61.53846154
2015-12-07 00:00:00,4.761904762
2015-12-08 00:00:00,4.545454545
2015-12-09 00:00:00,0
2015-12-10 00:00:00,8.695652174
2015-12-11 00:00:00,-36
2015-12-12 00:00:00,-6.25
2015-12-13 00:00:00,100
2015-12-14 00:00:00,30
2015-12-15 00:00:00,156.4102564
2015-12-16 00:00:00,-47
2015-12-17 00:00:00,-47.16981132
2015-12-18 00:00:00,-35.71428571
2015-12-19 00:00:00,-27.77777778
2015-12-20 00:00:00,69.23076923
2015-12-21 00:00:00,0
2015-12-22 00:00:00,-9.090909091
2015-12-23 00:00:00,-15
2015-12-24 00:00:00,-41.17647059
2015-12-25 00:00:00,10
2015-12-26 00:00:00,-9.090909091
2015-12-27 00:00:00,60
2015-12-28 00:00:00,0
2015-12-29 00:00:00,6.25
2015-12-30 00:00:00,-11.76470588
2015-12-31 00:00:00,21.05263158
2016-01-01 00:00:00,21.05263158
2016-01-02 00:00:00,-13.04347826
2016-01-03 00:00:00,65
2016-01-04 00:00:00,6.060606061
2016-01-05 00:00:00,2.857142857
